batch_id,sorting_plus_inspection_cost_per_t,recovered_value_per_t,incoming_weight_t,economic_quadrant,economic_evaluation_status,eligible_for_realised_comparison
B001,78.49,312.77,35.0,High-value / High-cost,Realised,True
B002,55.47,324.22,49.7,Efficient,Realised,True
B003,32.58,229.88,23.7,Commodity,Realised,True
B004,63.14,274.2,40.7,Review Required,Realised,True
B005,49.87,308.86,35.0,Efficient,Realised,True
B006,216.17,234.19,28.2,Review Required,Realised,True
B007,60.97,358.26,42.9,Efficient,Realised,True
B008,55.71,302.13,27.1,Commodity,Realised,True
B009,117.77,291.71,20.3,Review Required,Realised,True
B010,128.17,435.05,38.4,High-value / High-cost,Realised,True
B011,28.58,257.61,35.0,Commodity,Realised,True
B012,58.29,247.29,29.4,Commodity,Realised,True
B013,45.06,455.53,51.9,Efficient,Realised,True
B014,63.33,296.22,22.6,Review Required,Realised,True
B015,52.88,327.02,37.3,Efficient,Realised,True
B016,157.22,427.58,39.5,High-value / High-cost,Realised,True
B017,229.52,255.2,47.4,Review Required,Realised,True
B018,53.28,309.18,27.1,Efficient,Realised,True
B019,33.35,214.14,33.9,Commodity,Realised,True
B020,61.89,363.3,30.5,High-value / High-cost,Realised,True
B021,61.27,381.0,48.6,High-value / High-cost,Realised,True
B022,54.54,464.14,41.8,Efficient,Realised,True
B023,199.96,228.74,28.2,Review Required,Realised,True
B024,65.29,305.11,35.0,Review Required,Realised,True
B025,174.86,540.95,37.3,High-value / High-cost,Realised,True
B026,103.16,199.5,26.0,Review Required,Realised,True
B027,180.43,0.0,36.1,N/A,Provisional,False
B028,41.48,227.77,44.0,Commodity,Realised,True
B029,53.92,383.39,24.8,Efficient,Realised,True
B030,215.41,0.0,37.3,N/A,Provisional,False
B031,57.73,286.22,37.3,N/A,Provisional,False
B032,51.66,288.81,31.6,N/A,Provisional,False
B033,229.76,0.0,32.8,N/A,Provisional,False
B034,107.31,192.91,27.1,N/A,Provisional,False
B035,33.67,234.11,33.9,N/A,Provisional,False
B036,71.85,0.0,22.6,N/A,Provisional,False
