batch_id,net_sorting_benefit_aud
B001,2804.51
B002,5754.08
B003,1130.7
B004,2585.8
B005,3746.9
B006,-4144.08
B007,6237.61
B008,2654.51
B009,122.82
B010,6091.87
B011,2649.87
B012,871.63
B013,13500.0
B014,1917.73
B015,4303.64
B016,4768.41
B017,-6172.24
B018,2829.81
B019,750.97
B020,4661.92
B021,7971.78
B022,10974.32
B023,-4077.55
B024,3140.19
B025,8146.5
B026,-2365.64
B027,-8498.98
B028,1674.27
B029,4199.74
B030,-10086.3
B031,-4079.75
B032,-3802.04
B033,-9340.15
B034,-6200.89
B035,-4553.76
B036,-2866.8
