cost_id,batch_id,cost_date,cost_category,quantity,unit,unit_cost_aud,total_cost_aud,notes
C00001,B001,2025-01-08,Sorting Labour,35.0,h,48.0,1680.0,Sorting labour hours from ProcessingEvents stage=Sorting x synthetic sorting rate.
C00002,B001,2025-01-14,Inspection,19.4,h,55.0,1067.0,Inspection labour hours summed from InspectionEvents x synthetic inspection rate.
C00003,B001,2025-01-17,Processing,40.2,h,80.0,3216.0,Processing machine hours from ProcessingEvents x synthetic machine rate.
C00004,B001,2025-01-20,Special Handling,1.99,t,80.0,159.52,Special handling tonnes (from RecoveryOutputs route=Special Handling) x synthetic special handling cost / t.
C00005,B001,2025-01-20,Disposal,2.12,t,45.0,95.22,Residual tonnes x synthetic disposal cost / t.
C00006,B001,2025-01-08,Transport,35.0,t,25.0,875.0,Inbound transport (reported separately from Total Recovery Cost).
C00007,B002,2025-01-17,Sorting Labour,42.2,h,48.0,2025.6,Sorting labour hours from ProcessingEvents stage=Sorting x synthetic sorting rate.
C00008,B002,2025-01-23,Inspection,13.3,h,55.0,731.5,Inspection labour hours summed from InspectionEvents x synthetic inspection rate.
C00009,B002,2025-01-29,Processing,57.2,h,80.0,4576.0,Processing machine hours from ProcessingEvents x synthetic machine rate.
C00010,B002,2025-01-29,Special Handling,3.52,t,80.0,281.36,Special handling tonnes (from RecoveryOutputs route=Special Handling) x synthetic special handling cost / t.
C00011,B002,2025-01-29,Disposal,0.26,t,45.0,11.47,Residual tonnes x synthetic disposal cost / t.
C00012,B002,2025-01-17,Transport,49.7,t,25.0,1242.5,Inbound transport (reported separately from Total Recovery Cost).
C00013,B002,2025-01-27,Other,432.78,aud,1.0,432.78,Small miscellaneous equipment / consumable cost (reported separately).
C00014,B003,2025-01-24,Sorting Labour,10.7,h,48.0,513.6,Sorting labour hours from ProcessingEvents stage=Sorting x synthetic sorting rate.
C00015,B003,2025-01-30,Inspection,4.7,h,55.0,258.5,Inspection labour hours summed from InspectionEvents x synthetic inspection rate.
C00016,B003,2025-01-30,Processing,27.3,h,80.0,2184.0,Processing machine hours from ProcessingEvents x synthetic machine rate.
C00017,B003,2025-02-05,Disposal,1.28,t,45.0,57.64,Residual tonnes x synthetic disposal cost / t.
C00018,B003,2025-01-24,Transport,23.7,t,25.0,592.5,Inbound transport (reported separately from Total Recovery Cost).
C00019,B003,2025-02-03,Other,366.13,aud,1.0,366.13,Small miscellaneous equipment / consumable cost (reported separately).
C00020,B004,2025-02-07,Sorting Labour,40.7,h,48.0,1953.6,Sorting labour hours from ProcessingEvents stage=Sorting x synthetic sorting rate.
C00021,B004,2025-02-13,Inspection,11.2,h,55.0,616.0,Inspection labour hours summed from InspectionEvents x synthetic inspection rate.
C00022,B004,2025-02-18,Processing,46.8,h,80.0,3744.0,Processing machine hours from ProcessingEvents x synthetic machine rate.
C00023,B004,2025-02-19,Special Handling,0.28,t,80.0,22.48,Special handling tonnes (from RecoveryOutputs route=Special Handling) x synthetic special handling cost / t.
C00024,B004,2025-02-07,Transport,40.7,t,25.0,1017.5,Inbound transport (reported separately from Total Recovery Cost).
