inspection_id,batch_id,material_id,inspection_type,reason,opened_datetime,closed_datetime,status,labour_hours,external_cost_aud,outcome
INSP00001,B001,M00001,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-01-13T00:45:00,2025-01-18T07:45:00,Completed,3.5,295.50,Cleared
INSP00002,B001,M00002,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-01-09T23:45:00,2025-01-15T02:45:00,Completed,0.7,194.59,Cleared
INSP00003,B001,M00004,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-01-12T22:45:00,2025-01-18T04:45:00,Completed,1.0,242.22,Cleared
INSP00004,B001,M00009,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-01-09T18:45:00,2025-01-11T21:45:00,Completed,1.8,340.77,Cleared
INSP00005,B001,M00010,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-01-12T16:45:00,2025-01-16T19:45:00,Completed,1.8,332.96,Cleared
INSP00006,B001,M00011,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-01-11T00:45:00,2025-01-15T03:45:00,Completed,0.7,65.48,Special Handling
INSP00007,B001,M00017,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-01-12T19:45:00,2025-01-17T20:45:00,Completed,2.6,213.14,Cleared
INSP00008,B001,M00023,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-01-11T20:45:00,2025-01-14T02:45:00,Completed,3.7,125.63,Cleared
INSP00009,B001,M00025,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-01-12T18:45:00,2025-01-15T23:45:00,Completed,2.9,45.76,Cleared
INSP00010,B001,M00033,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-01-09T18:45:00,2025-01-14T22:45:00,Completed,1.8,29.63,Special Handling
INSP00011,B001,M00034,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-01-08T23:45:00,2025-01-13T02:45:00,Completed,0.8,112.61,Cleared
INSP00012,B002,M00040,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-01-17T21:29:00,2025-01-19T00:29:00,Completed,0.6,239.48,Cleared
INSP00013,B002,M00043,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-01-20T20:29:00,2025-01-26T04:29:00,Completed,3.6,272.91,Cleared
INSP00014,B002,M00046,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-01-22T02:29:00,2025-01-24T05:29:00,Completed,1.4,71.91,Cleared
INSP00015,B002,M00049,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-01-20T23:29:00,2025-01-24T07:29:00,Completed,1.2,0.22,Cleared
INSP00016,B002,M00054,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-01-21T19:29:00,2025-01-25T23:29:00,Completed,1.3,110.35,Cleared
INSP00017,B002,M00056,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-01-18T20:29:00,2025-01-20T00:29:00,Completed,1.9,56.23,Special Handling
INSP00018,B002,M00057,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-01-20T22:29:00,2025-01-23T04:29:00,Completed,3.5,115.96,Route Changed
INSP00019,B002,M00061,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-01-19T02:29:00,2025-01-24T08:29:00,Completed,3.4,229.54,Cleared
INSP00020,B002,M00066,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-01-21T02:29:00,2025-01-22T04:29:00,Completed,1.1,67.84,Cleared
INSP00021,B002,M00069,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-01-21T02:29:00,2025-01-22T03:29:00,Completed,1.2,71.01,Route Changed
INSP00022,B002,M00078,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-01-21T21:29:00,2025-01-24T05:29:00,Completed,1.0,309.53,Special Handling
INSP00023,B002,M00079,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-01-18T01:29:00,2025-01-20T03:29:00,Completed,3.6,148.57,Cleared
INSP00024,B002,M00080,Routing Verification,Synthetic inspection triggered by risk flags on the material record.,2025-01-21T01:29:00,2025-01-26T07:29:00,Completed,2.4,115.02,Cleared
INSP00025,B003,M00082,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-01-28T00:36:00,2025-01-30T04:36:00,Completed,3.5,391.27,Cleared
INSP00026,B003,M00084,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-01-30T18:36:00,2025-02-04T22:36:00,Completed,2.8,170.59,Special Handling
INSP00027,B003,M00088,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-01-27T20:36:00,2025-02-01T23:36:00,Completed,0.8,46.65,Cleared
INSP00028,B003,M00089,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-01-30T02:36:00,2025-02-03T09:36:00,Completed,2.7,182.48,Cleared
INSP00029,B003,M00091,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-01-28T19:36:00,2025-02-01T01:36:00,Completed,2.1,35.14,Cleared
INSP00030,B003,M00098,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-02-01T00:36:00,2025-02-03T05:36:00,Completed,1.9,293.38,Cleared
INSP00031,B003,M00105,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-01-31T18:36:00,2025-02-03T01:36:00,Completed,3.3,166.76,Special Handling
INSP00032,B003,M00106,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-01-30T02:36:00,2025-02-01T10:36:00,Completed,3.5,437.71,Cleared
INSP00033,B004,M00109,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-02-09T23:26:00,2025-02-11T05:26:00,Completed,1.0,31.22,Cleared
INSP00034,B004,M00110,Record Review,Synthetic inspection triggered by risk flags on the material record.,2025-02-12T20:26:00,2025-02-16T00:26:00,Completed,2.2,154.89,Cleared
INSP00035,B004,M00112,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-02-12T19:26:00,2025-02-17T20:26:00,Completed,1.1,318.38,Cleared
INSP00036,B004,M00113,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-02-11T18:26:00,2025-02-16T01:26:00,Completed,3.3,268.85,Cleared
INSP00037,B004,M00118,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-02-08T15:26:00,2025-02-11T21:26:00,Completed,2.1,314.40,Special Handling
INSP00038,B004,M00124,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-02-08T20:26:00,2025-02-09T21:26:00,Completed,3.2,358.64,Cleared
INSP00039,B004,M00126,Quality Verification,Synthetic inspection triggered by risk flags on the material record.,2025-02-11T16:26:00,2025-02-12T22:26:00,Completed,2.9,449.07,Cleared
INSP00040,B004,M00127,Treatment Information Verification,Synthetic inspection triggered by risk flags on the material record.,2025-02-11T21:26:00,2025-02-13T00:26:00,Completed,1.6,158.47,Cleared
INSP00041,B004,M00130,Manual Material Review,Synthetic inspection triggered by risk flags on the material record.,2025-02-12T18:26:00,2025-02-15T19:26:00,Completed,2.6,31.51,Route Changed
