material_id,batch_id,estimated_weight_kg,species,material_form,former_use,known_treatment_status,surface_condition,record_completeness,requires_inspection,special_handling_flag,initial_recovery_grade,recovery_grade,current_route,resolution_status,output_date
M00001,B001,1119.2,Mountain Ash,Structural Member,Roof rafter,No Treatment Recorded,Severely Degraded,Critical Information Missing,Yes,No,Premium,Premium,Higher-value Recovery,Output,2025-01-24
M00002,B001,1226.8,Spotted Gum,Post,Verandah post,No Treatment Recorded,Severely Degraded,Critical Information Missing,Yes,No,Premium,Premium,Higher-value Recovery,Output,2025-01-24
M00003,B001,198.4,Ironbark,Board,Formwork board,Adhesive / Composite Concern,Good,Complete,No,No,Premium,Premium,Higher-value Recovery,Output,2025-01-24
M00004,B001,1296.6,Mountain Ash,Post,Verandah post,No Treatment Recorded,Good,Complete,Yes,No,Premium,Premium,Higher-value Recovery,Output,2025-01-24
M00005,B001,734.7,Oregon,Board,Dunnage,Known Treatment Recorded,Fair,Partial,No,No,Character,Character,Higher-value Recovery,Output,2025-01-24
M00006,B001,1194.8,Blackbutt,Mixed Salvage,Mixed salvage lot,Surface Coating Recorded,Fair,Partial,No,No,Character,Character,Higher-value Recovery,Output,2025-01-24
M00007,B001,476.6,Blackbutt,Board,Dunnage,Unknown,Fair,Partial,No,No,Character,Character,Higher-value Recovery,Output,2025-01-24
M00008,B001,617.1,Spotted Gum,Flooring,Floor board,No Treatment Recorded,Poor,Partial,No,No,Character,Character,Higher-value Recovery,Output,2025-01-24
M00009,B001,2355.7,Mixed Hardwood,Post,Fence post,Unknown,Good,Complete,Yes,No,Character,Character,Higher-value Recovery,Output,2025-01-24
M00010,B001,404.1,Mixed Hardwood,Board,Dunnage,No Treatment Recorded,Severely Degraded,Complete,Yes,No,Character,Character,Higher-value Recovery,Output,2025-01-24
M00011,B001,414.0,Mountain Ash,Mixed Salvage,Assorted recovered timber,Surface Coating Recorded,Poor,Complete,Yes,Yes,Character,Character,Special Handling,Output,2025-01-24
M00012,B001,751.0,Unknown / Mixed,Board,Dunnage,No Treatment Recorded,Poor,Partial,No,No,Character,Rustic,Board Feedstock,Output,2025-01-24
M00013,B001,1616.7,Ironbark,Beam,Roof beam,Known Treatment Recorded,Good,Partial,No,No,Rustic,Rustic,Board Feedstock,Output,2025-01-24
M00014,B001,209.0,Mixed Hardwood,Other,Joinery offcut,Adhesive / Composite Concern,Good,Complete,No,No,Rustic,Rustic,Board Feedstock,Output,2025-01-24
