event_id,batch_id,stage,start_datetime,end_datetime,weight_in_t,weight_out_t,labour_hours,machine_hours,status
PE0101,B001,Intake,2025-01-07T08:45:00,2025-01-07T14:45:00,32.90,32.90,1.0,0.0,Completed
PE0102,B001,Sorting,2025-01-07T14:45:00,2025-01-12T08:45:00,32.90,32.90,32.9,0.0,Completed
PE0103,B001,Inspection Hold,2025-01-12T08:45:00,2025-01-14T08:45:00,32.90,32.90,9.9,0.0,Completed
PE0104,B001,Processing,2025-01-15T08:45:00,2025-01-24T15:00:00,32.90,32.90,0.0,37.8,Completed
PE0105,B001,Grading,2025-01-23T15:00:00,2025-01-24T15:00:00,32.90,32.90,2.0,0.0,Completed
PE0106,B001,Output,2025-01-24T15:00:00,2025-01-24T18:00:00,32.90,32.90,1.0,0.0,Completed
PE0201,B002,Intake,2025-01-16T10:29:00,2025-01-16T16:29:00,46.70,46.70,1.0,0.0,Completed
PE0202,B002,Sorting,2025-01-16T16:29:00,2025-01-21T10:29:00,46.70,46.70,39.7,0.0,Completed
PE0203,B002,Inspection Hold,2025-01-21T10:29:00,2025-01-23T10:29:00,46.70,46.70,9.3,0.0,Completed
PE0204,B002,Processing,2025-01-24T10:29:00,2025-01-26T15:00:00,46.70,46.70,0.0,53.7,Completed
PE0205,B002,Grading,2025-01-25T15:00:00,2025-01-26T15:00:00,46.70,46.70,2.0,0.0,Completed
PE0206,B002,Output,2025-01-26T15:00:00,2025-01-26T18:00:00,46.70,46.70,1.0,0.0,Completed
PE0301,B003,Intake,2025-01-26T10:36:00,2025-01-26T16:36:00,22.30,22.30,1.0,0.0,Completed
PE0302,B003,Sorting,2025-01-26T16:36:00,2025-01-28T10:36:00,22.30,22.30,10.0,0.0,Completed
PE0303,B003,Inspection Hold,2025-01-28T10:36:00,2025-01-30T10:36:00,22.30,22.30,2.2,0.0,Completed
PE0304,B003,Processing,2025-01-31T10:36:00,2025-02-03T15:00:00,22.30,22.30,0.0,25.6,Completed
PE0305,B003,Grading,2025-02-02T15:00:00,2025-02-03T15:00:00,22.30,22.30,2.0,0.0,Completed
PE0306,B003,Output,2025-02-03T15:00:00,2025-02-03T18:00:00,22.30,22.30,1.0,0.0,Completed
PE0401,B004,Intake,2025-02-07T07:26:00,2025-02-07T13:26:00,38.20,38.20,1.0,0.0,Completed
PE0402,B004,Sorting,2025-02-07T13:26:00,2025-02-12T07:26:00,38.20,38.20,38.2,0.0,Completed
