output_id,batch_id,output_date,recovery_route,recovery_grade,weight_t,unit_value_aud_per_t,gross_value_aud
OUT00001,B001,2025-01-24,Higher-value Recovery,Premium,3.841,650.00,2496.65
OUT00002,B001,2025-01-24,Higher-value Recovery,Character,5.783,450.00,2602.35
OUT00003,B001,2025-01-24,Special Handling,Character,0.414,450.00,186.30
OUT00004,B001,2025-01-24,Board Feedstock,Rustic,0.751,280.00,210.28
OUT00005,B001,2025-01-24,Board Feedstock,Rustic,8.301,280.00,2324.28
OUT00006,B001,2025-01-24,Board Feedstock,Feedstock,0.892,125.00,111.50
OUT00007,B001,2025-01-24,Board Feedstock,Feedstock,10.990,125.00,1373.75
OUT00008,B001,2025-01-24,Special Handling,Feedstock,0.733,125.00,91.62
OUT00009,B001,2025-01-24,Residual / Disposal,Feedstock,1.195,125.00,149.38
OUT00010,B002,2025-01-26,Higher-value Recovery,Premium,10.494,650.00,6821.10
OUT00011,B002,2025-01-26,Higher-value Recovery,Character,11.250,450.00,5062.50
OUT00012,B002,2025-01-26,Special Handling,Character,1.446,450.00,650.70
OUT00013,B002,2025-01-26,Board Feedstock,Rustic,1.279,280.00,358.12
OUT00014,B002,2025-01-26,Board Feedstock,Rustic,11.085,280.00,3103.80
OUT00015,B002,2025-01-26,Board Feedstock,Feedstock,1.519,125.00,189.88
OUT00016,B002,2025-01-26,Board Feedstock,Feedstock,6.922,125.00,865.25
OUT00017,B002,2025-01-26,Special Handling,Feedstock,1.008,125.00,126.00
OUT00018,B002,2025-01-26,Residual / Disposal,Feedstock,1.697,125.00,212.12
OUT00019,B003,2025-02-03,Higher-value Recovery,Premium,0.672,650.00,436.80
OUT00020,B003,2025-02-03,Higher-value Recovery,Character,1.682,450.00,756.90
OUT00021,B003,2025-02-03,Special Handling,Character,0.052,450.00,23.40
OUT00022,B003,2025-02-03,Board Feedstock,Rustic,0.339,280.00,94.92
OUT00023,B003,2025-02-03,Board Feedstock,Rustic,4.185,280.00,1171.80
OUT00024,B003,2025-02-03,Board Feedstock,Feedstock,0.403,125.00,50.38
OUT00025,B003,2025-02-03,Board Feedstock,Feedstock,13.788,125.00,1723.50
OUT00026,B003,2025-02-03,Special Handling,Feedstock,0.369,125.00,46.12
OUT00027,B003,2025-02-03,Residual / Disposal,Feedstock,0.810,125.00,101.25
OUT00028,B004,2025-02-19,Higher-value Recovery,Premium,4.461,650.00,2899.65
OUT00029,B004,2025-02-19,Higher-value Recovery,Character,6.636,450.00,2986.20
OUT00030,B004,2025-02-19,Special Handling,Character,0.559,450.00,251.55
OUT00031,B004,2025-02-19,Board Feedstock,Rustic,0.872,280.00,244.16
OUT00032,B004,2025-02-19,Board Feedstock,Rustic,9.638,280.00,2698.64
OUT00033,B004,2025-02-19,Board Feedstock,Feedstock,1.035,125.00,129.38
OUT00034,B004,2025-02-19,Board Feedstock,Feedstock,12.623,125.00,1577.88
OUT00035,B004,2025-02-19,Special Handling,Feedstock,0.988,125.00,123.50
OUT00036,B004,2025-02-19,Residual / Disposal,Feedstock,1.388,125.00,173.50
OUT00037,B005,2025-02-26,Higher-value Recovery,Premium,10.691,650.00,6949.15
OUT00038,B005,2025-02-26,Higher-value Recovery,Character,8.046,450.00,3620.70
OUT00039,B005,2025-02-26,Special Handling,Character,0.577,450.00,259.65
OUT00040,B005,2025-02-26,Board Feedstock,Rustic,0.751,280.00,210.28
OUT00041,B005,2025-02-26,Board Feedstock,Rustic,5.847,280.00,1637.16
OUT00042,B005,2025-02-26,Board Feedstock,Feedstock,0.892,125.00,111.50
OUT00043,B005,2025-02-26,Board Feedstock,Feedstock,4.530,125.00,566.25
OUT00044,B005,2025-02-26,Special Handling,Feedstock,0.371,125.00,46.38
OUT00045,B005,2025-02-26,Residual / Disposal,Feedstock,1.195,125.00,149.38
OUT00046,B006,2025-03-27,Higher-value Recovery,Premium,1.971,650.00,1281.15
OUT00047,B006,2025-03-27,Higher-value Recovery,Character,3.112,450.00,1400.40
OUT00048,B006,2025-03-27,Special Handling,Character,0.449,450.00,202.05
OUT00049,B006,2025-03-27,Board Feedstock,Rustic,1.417,280.00,396.76
OUT00050,B006,2025-03-27,Board Feedstock,Rustic,5.482,280.00,1534.96
OUT00051,B006,2025-03-27,Board Feedstock,Feedstock,1.682,125.00,210.25
OUT00052,B006,2025-03-27,Board Feedstock,Feedstock,8.894,125.00,1111.75
OUT00053,B006,2025-03-27,Special Handling,Feedstock,1.419,125.00,177.38
OUT00054,B006,2025-03-27,Residual / Disposal,Feedstock,2.174,125.00,271.75
OUT00055,B007,2025-03-15,Higher-value Recovery,Premium,9.078,650.00,5900.70
OUT00056,B007,2025-03-15,Higher-value Recovery,Character,9.902,450.00,4455.90
OUT00057,B007,2025-03-15,Special Handling,Character,1.082,450.00,486.90
OUT00058,B007,2025-03-15,Board Feedstock,Rustic,1.106,280.00,309.68
OUT00059,B007,2025-03-15,Board Feedstock,Rustic,9.590,280.00,2685.20
OUT00060,B007,2025-03-15,Board Feedstock,Feedstock,1.314,125.00,164.25
OUT00061,B007,2025-03-15,Board Feedstock,Feedstock,6.106,125.00,763.25
OUT00062,B007,2025-03-15,Special Handling,Feedstock,0.754,125.00,94.25
OUT00063,B007,2025-03-15,Residual / Disposal,Feedstock,1.468,125.00,183.50
OUT00064,B008,2025-04-03,Higher-value Recovery,Premium,2.977,650.00,1935.05
OUT00065,B008,2025-04-03,Higher-value Recovery,Character,4.554,450.00,2049.30
OUT00066,B008,2025-04-03,Special Handling,Character,0.249,450.00,112.05
OUT00067,B008,2025-04-03,Board Feedstock,Rustic,0.582,280.00,162.96
OUT00068,B008,2025-04-03,Board Feedstock,Rustic,6.434,280.00,1801.52
